Omakuva,Ateneum,1959
Omakuva,Ateneum,1928
Sommitelma,Kiasma,2003
Taistelija,Ateneum,1972
"Taiteilijan serkut, Arttu ja Jussi Halonen",Ateneum,1945
Omakuva,Kiasma,1999
Pihan kulma,Ateneum,1985
Haapoja,Ateneum,1991
L'amour à l'épreuve,Sinebrychoffin taidemuseo,1919
"Palava kylä, harjoitelmia",Ateneum,1935
"Kirkkoväkeä jäällä, Hiihtävä jono",Ateneum,1958
Omakuva,Ateneum,1997
Nauravan miehen pää (Paysan en bonnet fourré´),Sinebrychoffin taidemuseo,1900
Metsäinen vuorenrinne,Ateneum,1899
Talven mentyä,Ateneum,2003
"Näköala Brahelinnasta; metsäinen vuorenrinne, taustalla kirkko.",Ateneum,1890
Maestrichtin piiritys,Sinebrychoffin taidemuseo,1917
Trubaduuri (kuva I),Ateneum,2008
Seksuaalinen ja ammatillinen kateus (Tennyson),Kiasma,1998
Tyttö (Selma Savolainen),Ateneum,1966
Racinen Bérénicen neljännen näytöksen neljännestä kohtauksesta,Sinebrychoffin taidemuseo,1889
Exlibris Guido Simberg III,Ateneum,1999
"Legendat, Vieraanvaraisuus",Ateneum,1940
Akaasiapuu aavikolla,Ateneum,1937
Genjin tarinasta. Shunsoku niwa-asobi,Ateneum,1998
Belle Lorraine (juliste),Ateneum,1920
Keskeytynyt peli,Sinebrychoffin taidemuseo,1900
"Kalevalan kuvitusta, XXVIII runon alkuvignetti",Ateneum,1941
Maisemaharjoitelma,Ateneum,1952
Gerard Doun äiti lankaa vyyhtimässä,Sinebrychoffin taidemuseo,1900
Kaksi poikaa penkillä,Ateneum,1989
Kohtaus myllyssä,Ateneum,1889
nimetön (maisema),Kiasma,1999
Heikki,Kiasma,1993
?,Sinebrychoffin taidemuseo,1919
Naisen muotokuva,Ateneum,1934
"Litografier, n:o 27",Ateneum,1922
Ludvig XV,Sinebrychoffin taidemuseo,1900
Rafael ja Michelangelo,Ateneum,1935
Morsiamen valmistaminen häävuoteeseen,Sinebrychoffin taidemuseo,1893
Haravaa ja viikatetta kantava mies,Ateneum,1938
Asetelma,Ateneum,1998
Lukeva tyttö,Ateneum,1910
no title,Sinebrychoffin taidemuseo,1919
"Pääsiäismuna, venäläinen",Sinebrychoffin taidemuseo,2007
Originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen,Ateneum,1903
Lintu,Ateneum,1961
Ratsastaja (Hevoset),Ateneum,1998
Omakuva,Ateneum,1957
nimetön (maisema),Kiasma,1999
Nimetön,Kiasma,1993
Sisäkuva,Kiasma,1996
Nizzan vihannestori (Vanha tori),Ateneum,1885
Tor ja jättiläiset,Ateneum,1938
Journée Nationale des orphelins (juliste),Ateneum,1920
